PULocationID,trips,total_fare,total_tips,total_revenue,sum_distance,avg_fare,avg_distance
68,259903,4958104.35,734604.95,7265021.91,669393.83,19.076749210282298,2.575552533060411
69,5176,160013.59,444.08,175101.67,34015.71,30.91452666151468,6.571814142194745
70,21053,911553.98,176550.56,1378895.25,192993.66,43.298056334014156,9.167038426827531
71,7050,217944.05,576.55,237300.13,42068.32,30.91404964539007,5.9671375886524824
72,7937,236042.62,356.29,256660.41,44746.04,29.7395262693713,5.6376515056066525
73,445,13732.62,57.12,15894.7,3127.92,30.859820224719105,7.029033707865168
74,44981,1039455.76,32492.53,1254880.18,189153.06,23.108773926769082,4.205176852448812
75,87089,1744334.41,126101.72,2254188.98,295854.28,20.029331029177047,3.3971486640103805
76,16565,510290.75,1086.52,557723.79,111685.44,30.80535768185934,6.742254150316933
77,4354,137852.68,326.91,150477.57,30315.53,31.661157556270094,6.962684887459806
78,3310,111428.04,1143.95,124114.96,27139.24,33.66406042296072,8.199166163141994
79,286813,5253198.61,562869.33,7496084.45,721722.78,18.31576187271846,2.516353094176345
80,16016,501168.8,10970.42,592438.68,80036.86,31.29175824175824,4.997306443556443
81,2223,82513.4,121.59,90273.79,22013.72,37.118038686459734,9.902708052181737
82,7874,220148.42,4393.05,255122.43,40489.42,27.958905257810517,5.142166624333249
83,2884,89571.23,3831.47,105762.29,14129.04,31.0579854368932,4.8991123439667135
84,10,535.03,0.0,610.98,116.25,53.503,11.625
85,4758,151165.46,887.72,167751.28,28958.72,31.770798654897014,6.0863219840269025
86,3387,163348.28,179.86,172448.21,47239.08,48.228012990847354,13.947174490699735
87,67487,1725320.18,150072.72,2289820.91,290919.24,25.565222635470533,4.31074488419992
88,34815,951348.43,86535.39,1256091.31,164943.42,27.325820192445786,4.737711331322706
89,12008,389241.58,2705.63,438696.7,78731.87,32.415188207861426,6.556618087941372
90,159325,2666549.95,375862.22,3979670.61,354801.02,16.736544484544172,2.226901114075004
91,7443,229432.86,631.65,248462.59,48035.21,30.825320435308342,6.453743114335618
92,3773,119481.91,943.23,138267.52,27904.98,31.667614630267693,7.395966074741585
93,1442,88414.11,10506.79,107953.4,11789.02,61.31352981969487,8.175464632454924
94,1416,47799.22,32.739999999999995,52325.62,11543.89,33.756511299435026,8.152464689265535
95,7102,221527.75,3242.36,258200.32,45589.07,31.192304984511406,6.419187552802027
96,219,7827.42,116.63,8726.5,1399.56,35.741643835616436,6.390684931506849
97,15775,492664.15,12546.75,567696.33,83233.5,31.230690966719493,5.276291600633915
98,733,25479.92,310.92,28734.31,5990.17,34.761145975443384,8.17212824010914
99,5,210.28,0.0,232.2,26.659999999999997,42.056,5.331999999999999
100,132028,2401147.05,356342.2,3560966.69,327614.42,18.18665018026479,2.4814010664404518
101,824,32551.8,126.78,37130.72,9018.67,39.50461165048544,10.94498786407767
102,1940,57409.4,495.85,64964.09,10053.99,29.592474226804125,5.182469072164948
105,2,83.7,20.14,120.84,20.94,41.85,10.47
106,3209,101854.97,1630.33,120182.63,18070.21,31.740408226861952,5.631103147397943
107,201039,3388278.11,466043.37,5033095.65,466997.01,16.853834877809778,2.3229174936206407
108,1624,59031.73,132.34,62387.31,14188.07,36.34958743842365,8.736496305418719
109,38,1862.47,24.3,2310.25,359.62,49.012368421052635,9.463684210526315
111,26,865.8,9.5,989.43,136.45,33.3,5.248076923076923
112,16986,498567.81,10403.46,610970.04,77733.04,29.351690215471564,4.5763004827505
113,146486,2515551.54,356300.12,3727015.11,317372.56,17.172641344565353,2.166572641754161
114,153152,2792990.01,352899.86,4046709.55,362224.49,18.236719141767654,2.3651306545131634
115,114,5402.89,43.87,6684.39,1098.06,47.39377192982457,9.632105263157895
116,23816,647051.7,14668.87,767255.43,124228.46,27.168781491434327,5.216176519986564
117,3272,150811.88,110.58,159193.52,41553.23,46.09165036674817,12.699642420537899
118,71,3221.31,65.96000000000001,4053.35,683.03,45.37056338028169,9.620140845070422
119,2948,95076.97,450.49,104963.49,20376.21,32.25134667571235,6.911875848032564
120,264,8790.87,121.22999999999999,9907.14,1636.65,33.298750000000005,6.199431818181819
121,2309,78531.75,494.73,89470.22,18815.01,34.01115201385881,8.14855348635773
122,1483,54335.59,92.67,60900.4,13361.7,36.638968307484824,9.009912339851653
123,2582,75978.17,192.45,81534.61,16192.86,29.42609217660728,6.271440743609605
124,1784,66218.26,1551.18,74697.08,13880.25,37.11785874439462,7.780409192825112
125,48962,968222.84,124916.61,1385879.95,134234.73,19.774985498958376,2.7416104325803685
126,2285,70192.58,251.22,78886.22,15246.76,30.718853391684902,6.672542669584245
127,5393,169718.13,1758.6299999999999,192477.92,37765.76,31.47007787873169,7.002736881142222
128,525,19354.12,260.07,22301.579999999998,4615.63,36.86499047619047,8.79167619047619
129,12973,412262.86,21950.17,496722.94,64659.02,31.778529253064054,4.984122408078316
130,10742,348504.95,7411.36,397597.02,77180.01,32.44320889964625,7.184882703407186
131,2057,73369.62,316.84,83527.16,17172.69,35.668264462809915,8.34841516771998
132,405577,25062436.24,3733774.83,32399670.15,6135641.32,61.79452049795723,15.12817866890874
133,2942,98655.27,906.71,115193.63,19476.44,33.53340244731476,6.620135961930659
134,2703,109773.44,6159.41,126270.47,17122.96,40.61170551239364,6.33479837217906
135,1749,56845.93,413.73,65191.6,12938.69,32.50196112064037,7.397764436821041
136,2057,70386.61,194.4,76714.66,16898.68,34.218089450656294,8.215206611570249
